"period","month","day","airline","src","dst","distance","SrcWeather","DstWeather","arrivalDelay"
"summer","August","Thursday","Etihad Airways","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Thursday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","Bluebird Airways","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","El Al","Cyprus","Israel","short","",,"slight delay"
"summer","August","Thursday","El Al","Italy","Israel","mid","",,"slight delay"
"summer","August","Thursday","MNG Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Thursday","Austrian Airlines","Austria","Israel","mid","",,"on time"
"summer","August","Thursday","Lufthansa Cargo","Germany","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Spain","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","United Kingdom","Israel","long","",,"on time"
"summer","August","Thursday","El Al","Italy","Israel","mid","",,"slight delay"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","El Al","Switzerland","Israel","mid","",,"on time"
"summer","August","Thursday","Bulgaria Air","Bulgaria","Israel","mid","",,"on time"
"summer","August","Thursday","Emirates","United Arab Emirates","Israel","mid","",,"on time"
"summer","August","Thursday","Austrian Airlines","Austria","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Cyprus","Israel","short","",,"slight delay"
"summer","August","Thursday","Smartwings","Georgia","Israel","short","",,"on time"
"summer","August","Thursday","El Al","France","Israel","mid","",,"slight delay"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Thursday","El Al","Russia","Israel","mid","",,"on time"
"summer","August","Thursday","Cyprus Airways","Cyprus","Israel","short","",,"on time"
"summer","August","Thursday","TAP Air Portugal","Portugal","Israel","long","",,"slight delay"
"summer","August","Thursday","Arkia Israeli Airlines","Romania","Israel","mid","",,"on time"
"summer","August","Thursday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","El Al","Germany","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Romania","Israel","mid","",,"on time"
"summer","August","Thursday","Israir Airlines (Israel-UAE Agreement Livery)","Czechia","Israel","mid","",,"heavy delay"
"summer","August","Friday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","KLM","Netherlands","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","Netherlands","Israel","mid","",,"on time"
"summer","August","Friday","Turkish Airlines","Turkey","Israel","short","",,"heavy delay"
"summer","August","Friday","Trade Air","Montenegro","Israel","mid","",,"heavy delay"
"summer","August","Friday","El Al (Jerusalem of Gold Livery)","France","Israel","mid","",,"slight delay"
"summer","August","Friday","Smartwings","Czechia","Israel","mid","",,"slight delay"
"summer","August","Friday","Arkia Israeli Airlines","France","Israel","mid","",,"slight delay"
"summer","August","Friday","Wizz Air","Romania","Israel","mid","",,"slight delay"
"summer","August","Friday","Royal Air Maroc","Morocco","Israel","long","",,"on time"
"summer","August","Friday","AnadoluJet","Turkey","Israel","short","",,"heavy delay"
"summer","August","Friday","Air Canada","Canada","Israel","long","",,"on time"
"summer","August","Friday","El Al","United States","Israel","long","",,"on time"
"summer","August","Friday","Ryanair","Italy","Israel","mid","",,"on time"
"summer","August","Friday","Challenge Airlines","Belgium","Israel","mid","",,"on time"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Thursday","Israir Airlines","Georgia","Israel","short","",,"heavy delay"
